DATE,PRCP,TAVG
1960-01,2.19,21.1
1960-02,1.15,19.7
1960-03,1.93,18.3
1960-04,4.02,48.1
1960-05,6.26,55.1
1960-06,2.09,63.7
1960-07,6.05,67.8
1960-08,6.19,69.3
1960-09,3.9,64.3
1960-10,3.32,49.2
1960-11,1.47,37.5
1960-12,0.25,20.8
1961-01,0.2,16.9
1961-02,1.02,28.3
1961-03,3.43,33.8
1961-04,1.33,40.6
1961-05,1.18,54
1961-06,1.84,66.4
1961-07,3.67,69.9
1961-08,1.78,69.4
1961-09,7.92,61.7
1961-10,3.75,50.5
1961-11,3.93,35.6
1961-12,1.03,18.8
1962-01,1.13,12.4
1962-02,1.39,17
1962-03,1.73,29.4
1962-04,1.43,45
1962-05,3.02,61.4
1962-06,2.09,66.7
1962-07,4.4,67.3
1962-08,2.04,69.8
1962-09,1.31,57.1
1962-10,1.69,51.9
1962-11,0.35,35.4
1962-12,0.9,20.4
1963-01,0.77,5.4
1963-02,0.39,14.1
1963-03,2.34,33.9
1963-04,1.67,47.8
1963-05,1.82,55.4
1963-06,8.15,69.6
1963-07,2.3,73.1
1963-08,3.22,67.6
1963-09,2.3,60.2
1963-10,0.65,58.1
1963-11,1.96,39.1
1963-12,0.65,11.3
1964-01,0.93,24.9
1964-02,0.26,24.9
1964-03,2.13,30.8
1964-04,3.15,47.5
1964-05,3.86,62.6
1964-06,2.28,68.5
1964-07,4.28,73
1964-08,2.52,66.9
1964-09,1.85,59.6
1964-10,0.08,46.8
1964-11,1.94,38.5
1964-12,0.34,18.7
1965-01,1.81,15.9
1965-02,0.74,18.6
1965-03,2.52,25
1965-04,2.94,43.7
1965-05,1.87,59.6
1965-06,2.31,64.2
1965-07,3.31,68.3
1965-08,6.78,66.7
1965-09,9.22,58.3
1965-10,1.69,49.2
1965-11,1.96,35.6
1965-12,2.5,29.7
1966-01,1.08,9.9
1966-02,1.36,21.3
1966-03,2.11,35.4
1966-04,1.54,42
1966-05,4.31,50.3
1966-06,2.92,66.5
1966-07,3.24,71.1
1966-08,3.83,66.1
1966-09,0.51,57.1
1966-10,1.65,47.7
1966-11,1.29,36
1966-12,2.63,23.1
1967-01,1.64,22.2
1967-02,1.17,14.7
1967-03,1.49,33.2
1967-04,2.58,45.6
1967-05,3.54,50.2
1967-06,6.46,66.2
1967-07,2.51,67
1967-08,2.71,62
1967-09,2.68,57.6
1967-10,5.52,47.9
1967-11,1.83,32.9
1967-12,1.89,25.1
1968-01,0.57,19.6
1968-02,0.49,18.9
1968-03,0.59,39.2
1968-04,4.18,47.7
1968-05,2.02,54.3
1968-06,7.83,66.1
1968-07,2.55,68.9
1968-08,2.58,68.8
1968-09,4.45,60.1
1968-10,0.85,50.7
1968-11,1.74,35.6
1968-12,2.89,22.6
1969-01,2.26,14.8
1969-02,0.18,23.6
1969-03,1.48,27.9
1969-04,2.72,46.9
1969-05,3.46,56.4
1969-06,7.96,59.5
1969-07,4.29,69.5
1969-08,0.96,70.2
1969-09,1.36,59.4
1969-10,2.66,46.4
1969-11,0.7,33.1
1969-12,1.66,21.3
1970-01,0.45,9.9
1970-02,0.16,20.1
1970-03,1.17,31.1
1970-04,2.53,47.9
1970-05,6.09,58.4
1970-06,2.26,66.5
1970-07,2.43,70.6
1970-08,0.97,68.5
1970-09,8.81,59.9
1970-10,2.66,51
1970-11,1.06,36.2
1970-12,2.12,22.4
1971-01,1.48,9.6
1971-02,2.6,19.9
1971-03,1.52,28.5
1971-04,2.42,45.4
1971-05,0.98,55
1971-06,2.27,71.6
1971-07,1.65,68.5
1971-08,3.96,68.3
1971-09,1.87,65
1971-10,1.3,55.9
1971-11,3.48,35.2
1971-12,3.64,26.7
1972-01,0.41,12.7
1972-02,0.43,16.5
1972-03,2.22,28.6
1972-04,2.03,41.3
1972-05,2.83,59.2
1972-06,1.65,62.8
1972-07,3.49,68.3
1972-08,7.48,69.1
1972-09,5.26,59.4
1972-10,2.42,45.8
1972-11,0.86,34.6
1972-12,1.91,17.2
1973-01,1.55,23.4
1973-02,1.2,24
1973-03,5.04,41.5
1973-04,7.11,44.9
1973-05,5.28,54.3
1973-06,0.81,67.9
1973-07,2.68,71.6
1973-08,2.54,70.6
1973-09,3.59,60.6
1973-10,2.3,54.1
1973-11,1.48,36.6
1973-12,1.98,21.4
1974-01,2.45,19.2
1974-02,1.18,18.4
1974-03,3.43,33.1
1974-04,4.24,48.7
1974-05,5.77,54.1
1974-06,3.86,64
1974-07,2.69,72.1
1974-08,4.61,66.8
1974-09,1.08,57.4
1974-10,3.18,50.5
1974-11,1.8,37.1
1974-12,1.81,26.8
1975-01,0.98,21.9
1975-02,0.98,21.9
1975-03,1.55,21.3
1975-04,3.09,26.1
1975-05,4.19,41
1975-06,4.57,62.5
1975-07,4.31,69.1
1975-08,6.05,72.4
1975-09,5.26,70.6
1975-10,0.85,57.5
1975-11,0.64,52.2
1975-12,2.79,41.8
1976-01,0.29,25.5
1976-02,0.57,15.7
1976-03,1.72,28.4
1976-04,4.76,36.5
1976-05,4.8,49.3
1976-06,1.95,54.2
1976-07,1.38,68.3
1976-08,1.46,73.3
1976-09,1.99,68.8
1976-10,0.5,58
1976-11,1.48,43.7
1976-12,0.11,28.1
1977-01,0.37,13.2
1977-02,0.54,3.7
1977-03,1.44,22.4
1977-04,3.03,39.7
1977-05,2.59,51.9
1977-06,2.52,65.1
1977-07,2.63,64.9
1977-08,6.63,73.6
1977-09,5.19,64.5
1977-10,2.84,59.7
1977-11,1.41,47.5
1977-12,2.12,34
1978-01,1.6,19.5
1978-02,1.04,10.4
1978-03,0.24,12.4
1978-04,0.28,29.4
1978-05,3.5,44.5
1978-06,3.96,57.9
1978-07,9.95,65.8
1978-08,4.54,69.7
1978-09,1.63,69.5
1978-10,5.44,63.8
1978-11,1.11,47.2
1978-12,3.05,33.5
1979-01,1.72,21.3
1979-02,1.69,6.9
1979-03,0.91,11.7
1979-04,2.67,32
1979-05,2.46,42.3
1979-06,2.7,56.7
1979-07,2.53,65.9
1979-08,2.8,69.7
1979-09,4.96,66.6
1979-10,0.11,61.1
1979-11,3.1,47.5
1979-12,2.28,35
1980-01,1.93,28.8
1980-02,1.11,17.3
1980-03,0.64,15.7
1980-04,0.69,28
1980-05,2.36,45.4
1980-06,2.08,57.8
1980-07,3.43,65.3
1980-08,2.67,73.4
1980-09,9.49,70.3
1980-10,7.84,59.9
1980-11,1.13,43.7
